espn_id,name,position,season,college_team,stat_category,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,longPassing,sacks,QBRating
3917315,Kyler Murray,QB,2017,oklahoma-sooners,passing,,,,,,,,,,,18,21,85.7,359,17.1,3,0,87,0,276.5
3917315,Kyler Murray,QB,2018,oklahoma-sooners,passing,,,,,,,,,,,260,377,69.0,"4,361",11.6,42,7,86,18,199.2
3917315,Kyler Murray,QB,2015,texas-am-aggies,rushing,,,,,,53,335,6.3,1,34,,,,,,,,,,
3917315,Kyler Murray,QB,2017,oklahoma-sooners,rushing,,,,,,14,142,10.1,0,66,,,,,,,,,,
3917315,Kyler Murray,QB,2018,oklahoma-sooners,rushing,,,,,,140,"1,001",7.2,12,75,,,,,,,,,,
4696700,Tip Reiman,TE,2021,illinois-fighting-illini,receiving,3,43,14.3,1,24,,,,,,,,,,,,,,,
4696700,Tip Reiman,TE,2022,illinois-fighting-illini,receiving,19,174,9.2,1,20,,,,,,,,,,,,,,,
4696700,Tip Reiman,TE,2023,illinois-fighting-illini,receiving,19,203,10.7,3,42,,,,,,,,,,,,,,,
4259324,Travis Vokolek,TE,2017,rutgers-scarlet-knights,receiving,1,14,14.0,0,14,,,,,,,,,,,,,,,
4259324,Travis Vokolek,TE,2018,rutgers-scarlet-knights,receiving,16,184,11.5,2,27,,,,,,,,,,,,,,,
4259324,Travis Vokolek,TE,2020,nebraska-cornhuskers,receiving,9,91,10.1,0,16,,,,,,,,,,,,,,,
4259324,Travis Vokolek,TE,2021,nebraska-cornhuskers,receiving,11,127,11.5,0,38,,,,,,,,,,,,,,,
4259324,Travis Vokolek,TE,2022,nebraska-cornhuskers,receiving,20,240,12.0,2,56,,,,,,,,,,,,,,,
4373626,Tyler Allgeier,RB,2018,byu-cougars,rushing,,,,,,9,49,5.4,0,44,,,,,,,,,,
4373626,Tyler Allgeier,RB,2019,byu-cougars,rushing,,,,,,17,119,7.0,0,36,,,,,,,,,,
4373626,Tyler Allgeier,RB,2020,byu-cougars,rushing,,,,,,150,"1,130",7.5,13,86,,,,,,,,,,
4373626,Tyler Allgeier,RB,2021,byu-cougars,rushing,,,,,,276,"1,606",5.8,23,67,,,,,,,,,,
4373626,Tyler Allgeier,RB,2018,byu-cougars,receiving,1,-3,-3.0,0,0,,,,,,,,,,,,,,,
4373626,Tyler Allgeier,RB,2019,byu-cougars,receiving,3,67,22.3,1,57,,,,,,,,,,,,,,,
4373626,Tyler Allgeier,RB,2020,byu-cougars,receiving,14,174,12.4,0,43,,,,,,,,,,,,,,,
4373626,Tyler Allgeier,RB,2021,byu-cougars,receiving,28,199,7.1,0,46,,,,,,,,,,,,,,,
4369886,Chris Blair,WR,2018,alcorn-state-braves,receiving,43,529,12.3,6,36,,,,,,,,,,,,,,,
4369886,Chris Blair,WR,2019,alcorn-state-braves,receiving,45,945,21.0,7,71,,,,,,,,,,,,,,,
4369886,Chris Blair,WR,2018,alcorn-state-braves,rushing,,,,,,6,73,12.2,0,36,,,,,,,,,,
4605841,Nathan Carter,RB,2021,uconn-huskies,rushing,,,,,,125,578,4.6,2,46,,,,,,,,,,
4605841,Nathan Carter,RB,2022,uconn-huskies,rushing,,,,,,65,405,6.2,1,52,,,,,,,,,,
4605841,Nathan Carter,RB,2023,michigan-state-spartans,rushing,,,,,,185,798,4.3,4,44,,,,,,,,,,
4605841,Nathan Carter,RB,2024,michigan-state-spartans,rushing,,,,,,116,499,4.3,5,60,,,,,,,,,,
4605841,Nathan Carter,RB,2021,uconn-huskies,receiving,19,127,6.7,0,47,,,,,,,,,,,,,,,
4605841,Nathan Carter,RB,2022,uconn-huskies,receiving,5,39,7.8,0,18,,,,,,,,,,,,,,,
4605841,Nathan Carter,RB,2023,michigan-state-spartans,receiving,22,103,4.7,0,21,,,,,,,,,,,,,,,
4605841,Nathan Carter,RB,2024,michigan-state-spartans,receiving,18,173,9.6,2,30,,,,,,,,,,,,,,,
4363551,Dylan Drummond,WR,2018,eastern-michigan-eagles,receiving,25,245,9.8,1,27,,,,,,,,,,,,,,,
4363551,Dylan Drummond,WR,2019,eastern-michigan-eagles,receiving,55,493,9.0,3,27,,,,,,,,,,,,,,,
4363551,Dylan Drummond,WR,2020,eastern-michigan-eagles,receiving,6,61,10.2,1,18,,,,,,,,,,,,,,,
4363551,Dylan Drummond,WR,2021,eastern-michigan-eagles,receiving,64,704,11.0,6,41,,,,,,,,,,,,,,,
4363551,Dylan Drummond,WR,2022,eastern-michigan-eagles,receiving,33,525,15.9,3,58,,,,,,,,,,,,,,,
4363551,Dylan Drummond,WR,2019,eastern-michigan-eagles,rushing,,,,,,4,23,5.8,0,11,,,,,,,,,,
4363551,Dylan Drummond,WR,2021,eastern-michigan-eagles,passing,,,,,,,,,,,1,1,100.0,13,13.0,1,0,13,0,539.2
4363551,Dylan Drummond,WR,2022,eastern-michigan-eagles,passing,,,,,,,,,,,1,1,100.0,23,23.0,0,0,23,0,293.2
4034948,Feleipe Franks,TE,2016,florida-gators,passing,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-
4034948,Feleipe Franks,TE,2017,florida-gators,passing,,,,,,,,,,,125,229,54.6,"1,438",6.3,9,8,63,29,113.3
4034948,Feleipe Franks,TE,2018,florida-gators,passing,,,,,,,,,,,188,322,58.4,"2,457",7.6,24,6,65,15,143.3
4034948,Feleipe Franks,TE,2019,florida-gators,passing,,,,,,,,,,,54,71,76.1,698,9.8,5,3,69,3,173.4
4034948,Feleipe Franks,TE,2020,arkansas-razorbacks,passing,,,,,,,,,,,163,238,68.5,"2,107",8.9,17,4,82,30,163.1
4034948,Feleipe Franks,TE,2017,florida-gators,rushing,,,,,,58,20,0.3,0,79,,,,,,,,,,
4034948,Feleipe Franks,TE,2018,florida-gators,rushing,,,,,,110,350,3.2,7,30,,,,,,,,,,
4034948,Feleipe Franks,TE,2019,florida-gators,rushing,,,,,,21,68,3.2,1,22,,,,,,,,,,
4034948,Feleipe Franks,TE,2020,arkansas-razorbacks,rushing,,,,,,105,204,1.9,1,28,,,,,,,,,,
4034948,Feleipe Franks,TE,2017,florida-gators,receiving,1,-4,-4.0,0,0,,,,,,,,,,,,,,,
4034948,Feleipe Franks,TE,2018,florida-gators,receiving,2,12,6.0,0,15,,,,,,,,,,,,,,,
4689334,Malik Heath,WR,2020,mississippi-state-bulldogs,receiving,37,307,8.3,3,32,,,,,,,,,,,,,,,
4689334,Malik Heath,WR,2021,mississippi-state-bulldogs,receiving,34,442,13.0,5,56,,,,,,,,,,,,,,,
4689334,Malik Heath,WR,2022,ole-miss-rebels,receiving,60,971,16.2,5,53,,,,,,,,,,,,,,,
4426502,Drake London,WR,2019,usc-trojans,receiving,39,567,14.5,5,46,,,,,,,,,,,,,,,
4426502,Drake London,WR,2020,usc-trojans,receiving,33,502,15.2,3,65,,,,,,,,,,,,,,,
4426502,Drake London,WR,2021,usc-trojans,receiving,88,"1,084",12.3,7,44,,,,,,,,,,,,,,,
4426502,Drake London,WR,2021,usc-trojans,rushing,,,,,,1,2,2.0,0,2,,,,,,,,,,
4040655,Darnell Mooney,WR,2016,tulane-green-wave,receiving,24,267,11.1,2,25,,,,,,,,,,,,,,,
4040655,Darnell Mooney,WR,2017,tulane-green-wave,receiving,34,599,17.6,4,52,,,,,,,,,,,,,,,
4040655,Darnell Mooney,WR,2018,tulane-green-wave,receiving,48,993,20.7,8,86,,,,,,,,,,,,,,,
4040655,Darnell Mooney,WR,2019,tulane-green-wave,receiving,48,713,14.9,5,48,,,,,,,,,,,,,,,
4040655,Darnell Mooney,WR,2016,tulane-green-wave,rushing,,,,,,4,22,5.5,0,8,,,,,,,,,,
4040655,Darnell Mooney,WR,2018,tulane-green-wave,rushing,,,,,,1,6,6.0,0,6,,,,,,,,,,
4360248,Kyle Pitts Sr.,TE,2018,florida-gators,receiving,3,73,24.3,1,52,,,,,,,,,,,,,,,
4360248,Kyle Pitts Sr.,TE,2019,florida-gators,receiving,54,649,12.0,5,32,,,,,,,,,,,,,,,
4360248,Kyle Pitts Sr.,TE,2020,florida-gators,receiving,43,770,17.9,12,71,,,,,,,,,,,,,,,
4374045,Teagan Quitoriano,TE,2018,oregon-state-beavers,receiving,2,13,6.5,0,8,,,,,,,,,,,,,,,
4374045,Teagan Quitoriano,TE,2019,oregon-state-beavers,receiving,5,100,20.0,2,28,,,,,,,,,,,,,,,
4374045,Teagan Quitoriano,TE,2020,oregon-state-beavers,receiving,14,185,13.2,1,46,,,,,,,,,,,,,,,
4374045,Teagan Quitoriano,TE,2021,oregon-state-beavers,receiving,19,214,11.3,3,34,,,,,,,,,,,,,,,
4430807,Bijan Robinson,RB,2020,texas-longhorns,rushing,,,,,,86,703,8.2,4,75,,,,,,,,,,
4430807,Bijan Robinson,RB,2021,texas-longhorns,rushing,,,,,,195,"1,127",5.8,11,62,,,,,,,,,,
4430807,Bijan Robinson,RB,2022,texas-longhorns,rushing,,,,,,258,"1,580",6.1,18,78,,,,,,,,,,
4430807,Bijan Robinson,RB,2020,texas-longhorns,receiving,15,196,13.1,2,35,,,,,,,,,,,,,,,
